,הליכוד,יש עתיד,שס,כחול לבן,ימינה,העבודה,יהדות התורה,ישראל ביתנו,הציונות הדתית,הרשימה המשותפת,תקווה חדשה,מרצ,"רע""מ"
מנות,96990.18181818182,87730.28571428571,79002.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,11,7,4,4,3,3,3,3,3,3,3,3,2
מנות,96990.18181818182,87730.28571428571,79002.0,73064.25,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,12,7,4,4,3,3,3,3,3,3,3,3,2
מנות,88907.66666666667,87730.28571428571,79002.0,73064.25,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,12,7,4,4,4,3,3,3,3,3,3,3,2
מנות,88907.66666666667,87730.28571428571,79002.0,73064.25,68459.0,89589.0,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,12,7,4,4,4,4,3,3,3,3,3,3,2
מנות,88907.66666666667,87730.28571428571,79002.0,73064.25,68459.0,67191.75,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,13,7,4,4,4,4,3,3,3,3,3,3,2
מנות,82068.61538461539,87730.28571428571,79002.0,73064.25,68459.0,67191.75,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,13,8,4,4,4,4,3,3,3,3,3,3,2
מנות,82068.61538461539,76764.0,79002.0,73064.25,68459.0,67191.75,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,13,8,4,4,4,4,3,3,3,3,3,3,3
מנות,82068.61538461539,76764.0,79002.0,73064.25,68459.0,67191.75,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,13,8,4,4,4,4,4,3,3,3,3,3,3
מנות,82068.61538461539,76764.0,79002.0,73064.25,68459.0,67191.75,62097.75,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,13,8,4,4,4,4,4,4,3,3,3,3,3
מנות,82068.61538461539,76764.0,79002.0,73064.25,68459.0,67191.75,62097.75,62092.5,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,14,8,4,4,4,4,4,4,3,3,3,3,3
מנות,76206.57142857143,76764.0,79002.0,73064.25,68459.0,67191.75,62097.75,62092.5,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,14,8,5,4,4,4,4,4,3,3,3,3,3
מנות,76206.57142857143,76764.0,63201.6,73064.25,68459.0,67191.75,62097.75,62092.5,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,14,9,5,4,4,4,4,4,3,3,3,3,3
מנות,76206.57142857143,68234.66666666667,63201.6,73064.25,68459.0,67191.75,62097.75,62092.5,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
