,הליכוד,יש עתיד,שס,כחול לבן,ימינה,העבודה,יהדות התורה,ישראל ביתנו,הציונות הדתית,הרשימה המשותפת,תקווה חדשה,מרצ,"רע""מ"
מנות,152413.14285714287,122822.4,105336.0,146128.5,136918.0,134383.5,124195.5,124185.0,112820.5,106291.5,104580.5,101109.0,83532.0
חלוקה,7,4,2,1,1,1,1,1,1,1,1,1,1
מנות,133361.5,122822.4,105336.0,146128.5,136918.0,134383.5,124195.5,124185.0,112820.5,106291.5,104580.5,101109.0,83532.0
חלוקה,7,4,2,2,1,1,1,1,1,1,1,1,1
מנות,133361.5,122822.4,105336.0,97419.0,136918.0,134383.5,124195.5,124185.0,112820.5,106291.5,104580.5,101109.0,83532.0
חלוקה,7,4,2,2,2,1,1,1,1,1,1,1,1
מנות,133361.5,122822.4,105336.0,97419.0,91278.66666666667,134383.5,124195.5,124185.0,112820.5,106291.5,104580.5,101109.0,83532.0
חלוקה,7,4,2,2,2,2,1,1,1,1,1,1,1
מנות,133361.5,122822.4,105336.0,97419.0,91278.66666666667,89589.0,124195.5,124185.0,112820.5,106291.5,104580.5,101109.0,83532.0
חלוקה,8,4,2,2,2,2,1,1,1,1,1,1,1
מנות,118543.55555555556,122822.4,105336.0,97419.0,91278.66666666667,89589.0,124195.5,124185.0,112820.5,106291.5,104580.5,101109.0,83532.0
חלוקה,8,4,2,2,2,2,2,1,1,1,1,1,1
מנות,118543.55555555556,122822.4,105336.0,97419.0,91278.66666666667,89589.0,82797.0,124185.0,112820.5,106291.5,104580.5,101109.0,83532.0
חלוקה,8,4,2,2,2,2,2,2,1,1,1,1,1
מנות,118543.55555555556,122822.4,105336.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,112820.5,106291.5,104580.5,101109.0,83532.0
חלוקה,8,5,2,2,2,2,2,2,1,1,1,1,1
מנות,118543.55555555556,102352.0,105336.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,112820.5,106291.5,104580.5,101109.0,83532.0
חלוקה,9,5,2,2,2,2,2,2,1,1,1,1,1
מנות,106689.2,102352.0,105336.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,112820.5,106291.5,104580.5,101109.0,83532.0
חלוקה,9,5,2,2,2,2,2,2,2,1,1,1,1
מנות,106689.2,102352.0,105336.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,106291.5,104580.5,101109.0,83532.0
חלוקה,10,5,2,2,2,2,2,2,2,1,1,1,1
מנות,96990.18181818182,102352.0,105336.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,106291.5,104580.5,101109.0,83532.0
חלוקה,10,5,2,2,2,2,2,2,2,2,1,1,1
מנות,96990.18181818182,102352.0,105336.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,70861.0,104580.5,101109.0,83532.0
חלוקה,10,5,3,2,2,2,2,2,2,2,1,1,1
מנות,96990.18181818182,102352.0,79002.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,70861.0,104580.5,101109.0,83532.0
חלוקה,10,5,3,2,2,2,2,2,2,2,2,1,1
מנות,96990.18181818182,102352.0,79002.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,101109.0,83532.0
חלוקה,10,6,3,2,2,2,2,2,2,2,2,1,1
מנות,96990.18181818182,87730.28571428571,79002.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,101109.0,83532.0
חלוקה,10,6,3,2,2,2,2,2,2,2,2,2,1
מנות,96990.18181818182,87730.28571428571,79002.0,97419.0,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,10,6,3,3,2,2,2,2,2,2,2,2,1
מנות,96990.18181818182,87730.28571428571,79002.0,73064.25,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,11,6,3,3,2,2,2,2,2,2,2,2,1
מנות,88907.66666666667,87730.28571428571,79002.0,73064.25,91278.66666666667,89589.0,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,11,6,3,3,3,2,2,2,2,2,2,2,1
מנות,88907.66666666667,87730.28571428571,79002.0,73064.25,68459.0,89589.0,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,11,6,3,3,3,3,2,2,2,2,2,2,1
מנות,88907.66666666667,87730.28571428571,79002.0,73064.25,68459.0,67191.75,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,12,6,3,3,3,3,2,2,2,2,2,2,1
מנות,82068.61538461539,87730.28571428571,79002.0,73064.25,68459.0,67191.75,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,12,7,3,3,3,3,2,2,2,2,2,2,1
מנות,82068.61538461539,76764.0,79002.0,73064.25,68459.0,67191.75,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,83532.0
חלוקה,12,7,3,3,3,3,2,2,2,2,2,2,2
מנות,82068.61538461539,76764.0,79002.0,73064.25,68459.0,67191.75,82797.0,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,12,7,3,3,3,3,3,2,2,2,2,2,2
מנות,82068.61538461539,76764.0,79002.0,73064.25,68459.0,67191.75,62097.75,82790.0,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,12,7,3,3,3,3,3,3,2,2,2,2,2
מנות,82068.61538461539,76764.0,79002.0,73064.25,68459.0,67191.75,62097.75,62092.5,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,13,7,3,3,3,3,3,3,2,2,2,2,2
מנות,76206.57142857143,76764.0,79002.0,73064.25,68459.0,67191.75,62097.75,62092.5,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,13,7,4,3,3,3,3,3,2,2,2,2,2
מנות,76206.57142857143,76764.0,63201.6,73064.25,68459.0,67191.75,62097.75,62092.5,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,13,8,4,3,3,3,3,3,2,2,2,2,2
מנות,76206.57142857143,68234.66666666667,63201.6,73064.25,68459.0,67191.75,62097.75,62092.5,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,14,8,4,3,3,3,3,3,2,2,2,2,2
מנות,71126.13333333333,68234.66666666667,63201.6,73064.25,68459.0,67191.75,62097.75,62092.5,75213.66666666667,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,14,8,4,3,3,3,3,3,3,2,2,2,2
מנות,71126.13333333333,68234.66666666667,63201.6,73064.25,68459.0,67191.75,62097.75,62092.5,56410.25,70861.0,69720.33333333333,67406.0,55688.0
חלוקה,14,8,4,4,3,3,3,3,3,2,2,2,2
מנות,71126.13333333333,68234.66666666667,63201.6,58451.4,68459.0,67191.75,62097.75,62092.5,56410.25,70861.0,69720.33333333333,67406.0,55688.0
